,index,-,专家意见
188,273,1,你好 黄金今日还有上涨风险，空单建议尽早离场(2018-01-23 15:27:37)
189,274,0,你好 近期个人观点是美元还会下跌，有美元的建议近期兑换，不同分析师观点都会有所不同(2018-01-23 15:21:26)
190,276,0,你好 可以关注111.2的阻力，突破将继续看涨，预计首次触及会有一定的回调(2018-01-23 15:16:02)
191,278,0,你好 澳美开始出现回调，预计近期将延续弱势，今日反弹0.800可尝试布局空单，目标看0.795(2018-01-23 15:10:12)
192,279,1,"你好 美加近期震荡交投，突破1.247可尝试追多，目标看1.250/1.253，跌破1.243注意止损离场
(2018-01-23 15:08:13)"
193,280,1,你好 美元反弹黄金有所承压，涨势没有改变，上方还有空间，有多单的可以继续持有，看1339―1340(2018-01-23 15:04:23)
194,281,0,你好 建议年前兑换人民币(2018-01-23 15:02:57)
195,283,0,你好 近期可以规避澳元，等回调结束后再布局(2018-01-23 14:33:46)
196,284,1,你好 近期英镑更为强势，可以考虑兑换英镑(2018-01-23 14:32:58)
197,285,1,你好 黄金可以关注1340―1342的阻力，如果突破将继续上涨，冲高不破回落1331可以离场(2018-01-23 14:31:09)
198,286,1,你好 黄金按提示再1335布局做多的，目标看到1339―1340，上方重要阻力在1340―1342，首次触及预计会有回落(2018-01-23 14:24:01)
199,287,1,你好 可以考虑兑换欧元或英镑(2018-01-23 14:22:03)
200,288,1,你好 趋势不会因为涨的多而改变，目前可以考虑兑换(2018-01-23 14:20:19)
201,289,1,你好 欧元近期还会上涨，今明两日可以考虑兑换(2018-01-23 13:49:54)
202,290,1,你好 黄金早盘突破昨日高点，今日有望继续上涨，目前点位1335可布局做多，上看1340/1345，如果跌破1330就要注意离场，更多行情分析可加微信号zsmlili1818(2018-01-23 13:35:27)
203,293,0,你好 美元不会无休止的下跌，可以长期持有，但要考虑到通货膨胀(2018-01-23 13:32:34)
204,294,1,你好 美元在90.1附近形成强支撑，展开震荡行情，但并不能代表已经企稳，一旦跌破支撑将会到89.8/89.2，重要阻力关注91.0(2018-01-23 13:26:02)
205,295,1,你好 镑澳现价触及1.751附近阻力，冲高不破将有回调，近期趋势呈现上涨，回调做多为主(2018-01-23 13:23:18)
206,296,0,你好 美元目前还是处于弱势阶段，有继续贬值风险，建议下半年再考虑兑换，如果中途有企稳迹象可以考虑先兑换部分(2018-01-23 13:20:50)
207,297,1,你好 美日近期处于震荡行情中，走势并不明朗，稳健可以选择先观望，等走势明朗后再选择布局，激进交易者可以轻仓尝试搏反弹，重点关注111.5附近的阻力，突破继续上看，跌破低点110.2就要注意止损离场(2018-01-23 13:18:20)
208,298,1,你好 黄金早盘突破昨日高点，今日有望继续上涨，目前点位1335可布局做多，上看1340/1345，如果跌破1330就要注意离场(2018-01-23 13:09:35)
209,299,1,你好 磅美整体趋势看涨，下方关注1.395附近的支撑，操作建议依托支撑可布局做多，上方阻力在1.400/1.405(2018-01-23 13:06:58)
210,300,0,你好 美元下周预计还有贬值风险，下跌的概率较大(2018-01-23 13:04:11)
211,302,0,美日早间不建议进场，从分时走势上看，如果做多了，防守的止损点位在110.75，你的多单我建议可以考虑先止损离场，等日本央行的利率政策落下帷幕后再进场布局，后续行情交流，咨询及技术解析欢迎添加个人微信号：jingzhe1688跟进了解。(2018-01-23 11:50:16)
212,303,1,日本数据公布后，利率政策维稳，并没有强势鹰派表现，美日短线上涨。(2018-01-23 11:34:13)
213,304,1,美瑞近期再走区间整理，目前从分时K线图看，可以关注0.9600的一线支撑布局多单，上放个阻力在0.9650一线，这是日内短线操作方案，关于大趋势涨跌及后续的长线操作可以加微信咨询。(2018-01-23 11:16:59)
214,305,1,镑美近期走势看涨，消息面上美元疲软，同时英国脱欧过渡期将在未来几个月等到证实的乐观预期提振英镑；技术面看日线图均线呈现多头排列，小时线更是收阳线突破盘整平台，日内推荐关注1.3950一线支撑布局多单，后续更多有关贵金属，外汇，原油行情交流，咨询及技术解析欢迎添加个人微信号：jingzhe1688跟进了解。(2018-01-23 11:09:36)
215,306,1,从走势上看，你的空单可以逢低减仓，上方如果突破1.40则离场，我对镑美日内的走势是持看涨思路。(2018-01-23 11:06:23)
216,307,1,澳元现在走强，不急着用可以再等一等的。(2018-01-23 11:03:12)
217,308,1,目前澳元受澳洲经济利好的提振，短线看走势还是上行，这种趋势变数要看一季度末，如果不急着用，我建议等一等再兑换。(2018-01-23 11:02:39)
218,309,0,详情可以加个人微信咨询：个人微信号：jingzhe1688。(2018-01-23 10:53:18)
219,310,0,本周四的欧银决议是近期焦点事件，具体结汇可以看周五情况，美元大趋势看，接下来还是偏空的，周中有回弹就可以部分结汇的。(2018-01-23 10:46:07)
220,311,1,回归6.5以上的机会是有的，后续要看美联储的经济政策途径是否有变动，如果出现鹰派基调，则一季度就有机会。(2018-01-23 10:58:05)
221,313,0,美日从近期基本面看，美指走低，美日承压；目前对于后市我还是持看空思路的，从日线图看，前期也是连续筑顶，除非今天上午的日本央行利率决议给出大幅度鸽派基调，否则美日短期内反转大幅度上探的几率较小。(2018-01-23 09:50:17)
222,317,0,美元走软可以归结为以下几点：1.税改落实后，短线利好出尽，同时关于政府税收减少及财政赤字增加的忧虑利空美指，市场更多关注在税改长期效果；2.市场避险情绪一直存在，美国政府的政治风波屡屡上演；3.全球其他经济体也在缩紧货币政策，与美联储之间的差异性在缩小，降低了美元的优势地位。这是近期美指持续低迷的主要原因，而今天对美指走势有较大影响的是日本央行的利率决议，从目前来看，美指走低的几率较大；以上是我的看法，请参考。(2018-01-23 09:37:28)
223,318,0,美日近期走势疲软，美指下行，同时日本央行近期有变更货币政策的可能性，今天上午的焦点事件是11点开始的日本央行公布的利率决议及政策说明，存在不确定性，但是近期美日趋势上我是持看空思路的。(2018-01-23 09:23:51)
224,320,1,你好，欧美目前不建议做空，欧美上周呈现高位震荡，目前没有明显的空头迹象，做空不是很合适，今天的指导就要结束了，大家的问题比较多，不能全部解答，晚间如需更多的行情走势分析及建议，可以添加微信号：zsmlili1818，获取相关的指导课程和学习课程。(2018-01-22 16:58:31)
225,321,0,你好，黄金走势偏空，亚盘黄金回落至1328附近后反弹，建议欧盘关注黄金的强弱，若上方承压在日内高点位置下方，下方跌破1328，那么晚间有较大的可能还会延续弱势回调行情，操作上择机做空是比较合适的，否则，行情有可能还是会呈现震荡行情(2018-01-22 16:39:46)
226,322,1,你好，英镑有机会上涨，可以继续持有。(2018-01-22 16:44:27)
227,323,0,你好，美日日内关注111.0/111.1的阻力位可以轻仓做空美日，反弹突破111.3就有一定的风险，如需更多行情解析及图形操作建议可以关注微信公众号：hzzsm888，获取相关的课程。(2018-01-22 16:22:59)
228,324,0,你好，美日现在做多是不合适的，(2018-01-22 16:19:06)
229,326,0,你好，趋势下跌的行情下，市场的主要方向决定强弱(2018-01-22 16:18:14)
230,327,1,你好，建议美加关注1.244附近的支撑，回踩再考虑做多进场。下方防守支撑位是1.240(2018-01-22 16:13:42)
231,328,0,你好，短期承压回落的可能性相对较大(2018-01-22 16:19:31)
232,329,0,你好，黄金现在追多不是很合适(2018-01-22 16:51:47)
233,330,0,你好，有一定的难度。(2018-01-22 15:52:38)
234,331,0,你好，是的，澳联储对澳元的态度一直是持下跌态度的(2018-01-22 15:55:09)
235,332,1,"你好，镑美趋势还是上涨行情，判断行情的方法有很多种，在这里不能全部解答，有机会会提及一些比较常用的判断方式，有兴趣可以添加微信号：zsmlili1818,会有相关的技术面学习课程(2018-01-22 15:46:34)"
236,333,0,你好，白银走势偏空，目前不建议做多(2018-01-22 15:44:40)
237,334,1,你好，欧美下午关注1.219/1.216的支撑位(2018-01-22 15:43:44)
238,339,1,你好，镑美目前整体还是上涨趋势。目前从1从1小时图形走势上看，有承压回调的可能，但是介于目前主要还是上涨趋势行情，操作上还是建议大家主要顺势布局多单位为主，下方初步关注1.382的支撑位，回踩可以布局多单，做多防守支撑位看1.380，破位考虑止损离场(2018-01-22 15:58:35)
239,340,1,你好，英镑兑人民币呈现底部抬升的三角形形态，后市有破位上涨的可能，需要现在就可以兑换，英镑在去年就已经是建议大家兑换的观点了(2018-01-22 16:00:08)
240,341,1,你好，可以的，需要英镑可以现在兑换(2018-01-22 16:01:33)
241,342,1,你好，现在可以兑换。(2018-01-22 15:21:23)
242,343,1,你好，看支撑位的支撑情况了，破位则机会不大(2018-01-22 15:20:42)
243,344,0,你好，个人建议做空关注111.0/111.1的阻力位在考虑进场，(2018-01-22 15:18:47)
244,345,0,你好，建议再等等(2018-01-22 15:18:13)
245,346,1,你好，可以考虑持有，若下方支撑位有效获得支撑，二季度有一定的反弹机会(2018-01-22 15:17:21)
246,347,1,你好，镑美目前整体还是上涨趋势。目前从1从1小时图形走势上看，有承压回调的可能，但是介于目前主要还是上涨趋势行情，操作上还是建议大家主要顺势布局多单位为主，下方初步关注1.382的支撑位，回踩可以布局多单，做多防守支撑位看1.380，破位考虑止损离场(2018-01-22 15:14:17)
247,348,0,你好，破新低的情况下，有可能会下跌至108.5附近(2018-01-22 15:10:48)
248,349,1,你好，澳美近期走势上目前还是上涨趋势，日内关注0.796/0.794的支撑位(2018-01-22 15:07:39)
249,351,1,你好，可以的，现在兑换非常合适(2018-01-22 14:59:31)
250,352,0,你好，个人看空澳元长期(2018-01-22 14:59:02)
251,353,0,你好，澳美虽然目前趋势还是上涨的，但是值得注意的是澳美在4小时图形上MACD指标出现了背离迹象，走势澳美有一定的可能会回落，日内初步关注0.796的支撑，做多防守点位在0.794，上方的阻力位在0.802，可以区间操作，快进快出，如需详细的行情解析及分析课程指导，可以关注微信公众号：hzzsm888，获取直播课程。(2018-01-22 14:42:55)
252,354,1,你好，看支撑位，支撑位有效的情况下，2季度有反弹可能。(2018-01-22 14:33:06)
253,355,0,你好，欧美上周整体表现是高位震荡的行情，相对来说震荡行情建议大家操作上稳健布局为主，下方可以关注10日均线的支撑位1.215，日内做多可以在1.216的位置轻仓尝试(2018-01-22 14:29:04)
254,356,0,你好，看支撑位的支撑情况，若破位则后市有可能会延续承压(2018-01-22 14:15:22)
255,357,0,你好，有一定难度，看6.39的初步支撑位，破上周新低的话，就还会延续下跌(2018-01-22 14:11:27)
256,358,1,你好，镑美目前整体还是上涨趋势。目前从1从1小时图形走势上看，有承压回调的可能，但是介于目前主要还是上涨趋势行情，操作上还是建议大家主要顺势布局多单位为主，下方初步关注1.382的支撑位，回踩可以布局多单，做多防守支撑位看1.380，破位考虑止损离场(2018-01-22 14:10:49)
257,361,1,你好，看支撑位，6.35/6.30附近的支撑位(2018-01-22 14:10:24)
258,362,0,你好，从周线的表现情况来看，还有回测下跌的风险，破上周的低点位置就有可能到6.35附近。(2018-01-22 14:04:14)
259,363,1,你好，可以考虑分批兑换，可以先在6.41兑换一部分，因为不排除今天站稳在6.39上方，短期有小反弹，就有机会在6.43附近兑换了(2018-01-22 14:02:36)
260,364,0,你好，美元兑人民币目前在初步支撑位6.39附近。若本周再次出现破位下跌，那短期还有承压可能，下方测试6.35/6.30目前从周线角度来看，美元还是弱势行情，短期还是承压在6.44的阻力位位置下方。没有明显反转迹象出现的情况下，继续看空。(2018-01-22 13:33:12)
261,367,0,你好，各位新浪外汇的朋友们，大家下午好，我是分析师周筱冰，今天下午由我为大家做外汇行情的分析和指导，美瑞受到美元指数反弹影响，上周五出现反弹行情，本周早盘延续上涨的走势，但是上方临近重要阻力位0.967附近，日内建议在0.966/0.967的阻力位可以做空美瑞。(2018-01-22 13:13:17)
262,369,0,你好，从中线看，美元兑人民币还有回落的空间，所以手上美元建议及时兑换出去，不建议长期持有。(2018-01-22 11:58:48)
263,370,1,你好，人民币对澳元处于回落阶段，建议近期可以及时兑换。(2018-01-22 11:52:37)
264,371,1,你好，镑美整体还是处于上行趋势中，个人看好到达1.41的位置，后期中长线的布局可关注我的微信号详细交流。(2018-01-22 11:39:36)
265,372,1,你好，澳美现价多先看0.800，若日内守住5日均线还有多头机会，更多布局欢迎添加我的微信jingzhe1688。(2018-01-22 10:17:18)
266,373,1,你好，美元兑人民币预计还有回落的风险，也就意味着人民币将会继续升值。(2018-01-22 09:34:56)
267,374,1,你好，欧美连续多日高位震荡，守住下方1.2170的支撑，逢低做多，严设止盈止损。(2018-01-22 09:38:02)
268,375,1,你好，美加日内多头趋势强势，日内关注下方1.2440附近支撑，逢低可布局多单，短线看涨。(2018-01-22 10:05:14)
269,376,1,你好，由于美国参议院投票未能通过短期政府预算案，美国政府停摆危机变成现实，预计对本已经持续疲软的美元构成进一步打击，黄金等避险品种则可能受到提振，黄金目前处于高位震荡，下方关注1325-1329一带支撑，逢低布局多单。(2018-01-22 09:24:59)
270,377,0,你好，美日偏空走势，上方关注111.1附近的阻力，逢高布局空单，日本央行的利率决议即将来袭，预计对汇市造成持续冲击。相比于已经在2017年加息三次，并将持续收紧政策的美联储来说，日本央行依旧保持着鸽派的货币政策立场，收紧政策的脚步也相对落后。(2018-01-22 09:06:53)
271,379,1,近期上涨走势保持完好，目前在高位回落，适合逢低买入，下方进场点位关注1.3800--1.3830，下方关键支撑1.3770附近，若跌破此价格，就不适合继续看多(2018-01-19 21:54:28)
272,380,0,现价就可以离场了，做短线单子，本周市场处于调整中，均在震荡，后市走出区间之后方向会明朗些，届时在做(2018-01-19 21:46:32)
273,381,0,做好盈利保护，拿着先看看，下方支撑110.00破位会进一步下跌(2018-01-19 21:45:48)
274,382,1,现在没办法做空，点位太低了，，再跌就可以逢低买入了(2018-01-19 21:45:15)
275,385,1,澳元适合回落后在0.7980附近逢低买入，高位不追(2018-01-19 20:59:33)
276,386,1,不做空，可做多，短线单子(2018-01-19 20:59:01)
277,387,0,90.10跌破还会继续下跌，本周价格处于90.10--91.00区间震荡(2018-01-19 20:44:08)
278,388,1,走势还是处于近期上涨行情之中，目前迹象看多，晚间适合回落后逢低做多(2018-01-19 20:44:59)
279,389,0,跌了，近期价格一直跌，一些结汇的朋友损失较大，市场都没有给结汇的机会(2018-01-19 20:42:45)
280,390,1,现价可做多，止损110.50，上方关注111.00附近，短线单子(2018-01-19 20:21:48)
281,391,1,现价在高位回落，适合回落后在0.7250附近逢低买入(2018-01-19 20:22:13)
282,392,0,"欧元可现价做空，止损1.2300,（若价格向上突破止损，可反手加仓50%追多）(2018-01-19 20:21:25)"
283,393,0,走势偏多，本周出现高位调整，现价可做空，止损1.2300，若止损可反手加仓50%追多(2018-01-19 20:11:48)
284,394,1,现价走势偏空些，在1.3840附近逢低买入(2018-01-19 20:06:09)
285,395,1,回落之后逢低买入(2018-01-19 20:06:36)
286,396,1,现在就可以开始兑换，近期美元一直在下跌(2018-01-19 20:08:05)
287,397,1,现在就可以开始兑换，后市价格还会跌一些，分批换(2018-01-19 20:08:27)
288,398,1,可以，止损在1.2300，若是价格向上突破，止损之后反手加仓50%追多(2018-01-19 20:09:00)
289,400,0,暂时有点困难，英镑适合回落后逢低买入(2018-01-19 20:09:38)
290,401,1,暂时继续看多，晚间适合回落后逢低买入(2018-01-19 20:09:52)
291,402,1,现价可以做多，止损在1.2400，上方关注1.2460，短线单子(2018-01-19 20:10:16)
292,403,0,按照以往的经验来看比较困难(2018-01-19 20:10:47)
293,410,0,严格设置止损是当前行情最好的建议，不扛单不套单尽量空仓规避风险为主(2018-01-19 16:47:47)
294,413,0,目前除了美国参议院的投票没啥利好消息，或者欧央行出来干预一下打压欧元(2018-01-19 16:36:05)
295,421,0,止损严格设置吧，等待市场的走势。1.关于止损：A外汇止损：直盘的最大止损不超过30个点，一般在20-25个点，中线不超过50-80个点；交叉盘的最大止损不超过35-50个点，B 黄金止损：最大止损不超过8美金，一般在3-5美金即可(2018-01-19 15:57:37)
296,427,0,现在都是未知数反弹压力先看1.2460-70(2018-01-19 15:32:09)
297,431,0,欧纽以及涨了不少，1.6830-50有较大压力，可以去沽空，止损1.6875，看向1.6770-80，供参考(2018-01-19 15:30:30)
298,434,1,美加目前1.24关口支撑着，加元是美盘货币，日内波幅有限主要看美盘行情为主(2018-01-19 15:16:41)
299,435,1,欧盘时段即将开盘，美元/人民币也即将回到6.4附近以及上方(2018-01-19 15:14:43)
300,436,0,1.226的话目前有小赚，建议做好相应的止损，1.2280-90的阻力；，下方1.2210-20的支撑可以作为目标(2018-01-19 15:14:15)
301,446,0,"近一个月以来英国经济数据逐步的利好，镑美破位稳步走高，再加上美指下破导致英镑破位18月以来的高点，目前在1.39附近徘徊直接逼近1.4关口。下一步又该如何？个人判断短期英镑稳步走高但是越逼近1.4那么越接近了多头的尾声。
(2018-01-19 14:41:39)"
302,447,1,机会还是有的，澳元现在趋近于5.1附近就需要考虑兑换，贪吃5.05-5.08，但是这个就要看运气和市场说了算了.急于想得到答案的朋友，可加【Q群 五六七 七八八 三零七】咨询，群里也有老师指导，及时解答交易/换汇难题(2018-01-19 14:38:44)
303,454,1,110.50-60有一点支撑，不破有望反弹111.1   111.40-50，供参考（破位就不在看反弹了）(2018-01-19 14:35:36)
304,468,1,"欧美目前震荡走高，上方关注1.2285-95的压力，供参考...可加企鹅群【五六七 七八八 三零七】咨询，群里也有老师指导，及时解答交易/换汇难题，【送福利，年底疯狂打CALL】即刻添加：fx-xl-jyzd 微信号，免费领取VIP会员权限，享受全方面喊单、指导以及沙龙互动，更有机会报名参加宗校立老师现场直播课堂！
(2018-01-19 14:07:51)"
305,469,1,美加目前1.24关口支撑着，加元是美盘货币，日内波幅有限主要看美盘行情为主(2018-01-19 14:06:06)
306,475,1,属于调整走出，跌幅有限，后市适合逢低买入(2018-01-29 20:06:04)
307,476,0,美元主动“示弱”的作用之一是利好美国经济：无论是缩表、加息还是减税，其目的就是让美元资本回流美国，以提升其本土制造业的国际竞争力。 另一个作用也清晰可见：今年以来美国各股指延续去年的升势，且上涨势头更加迅猛，其中标普500指数大幅上涨6%；美元“示弱”让全球资金开始抄底美元权益性资产，营造出了美国股市的一派繁荣景象。 美元“示弱”何时结束则会取决于美国经济金融的需要。(2018-01-29 20:17:27)
308,477,1,现在就可以开始兑换，后市英镑会走强(2018-01-29 20:07:28)
309,480,1,结汇的话不好选择，近期日元和人民币都强势，一直在17-17.3之间徘徊，所以选择性不是很大(2018-01-29 16:52:42)
310,484,1,美加当前小震荡走高，今日区间看的是1.231-1.2385之间窄幅震荡，当前中间区域不好下手，只有等美盘(2018-01-29 16:43:09)
311,485,1,如果成立，那么必然是暴涨的，因为美股资金逃离只有黄金才能起到一个蓄水池(2018-01-29 16:35:44)
312,497,1,现在就开始兑换吧，欧元兑人民币近期一直跌不动，后市预计突破8.0的概率很大，至少换一半(2018-01-18 21:09:26)
313,498,0,止损在日内高点，下方关注111.00、110.90吧，短线单子(2018-01-18 20:49:20)
314,499,1,因美元疲弱依旧，且英国下议院批准了脱欧法案，英镑兑美元重拾升势，刷新日高1.3890、、、下方关注1.3800、1.3750附近支撑，不跌破就适合逢低买入(2018-01-18 20:48:21)
315,501,0,目前有点困难，现价可轻仓尝试做空，止损在日内高点(2018-01-18 20:12:10)
316,502,0,可现价做空，止损在日内高点(2018-01-18 20:14:02)
317,503,1,需要的话现在就可以兑换，澳元兑人民币近期一直在低位反弹上涨(2018-01-18 20:09:33)
318,504,1,日内价格一直在涨，现价没必要追多了，错过了进场点位(2018-01-18 20:05:32)
319,505,1,属于技术上的反弹，英镑虽然天图上维持涨势，但是短线也出现调整的迹象（天图昨日出现上上影线），下方关键支撑1.3740跌破，可确定调整走势出现，不然可依托此支撑逢低做多(2018-01-18 20:06:10)
320,506,1,暂时不着急，现价人就处于低位反弹上涨中，现在还没出现止涨信号，空单不急于进场(2018-01-18 20:07:28)
321,507,0,只能轻仓去尝试，止损1335(2018-01-18 20:07:45)
322,512,1,110.90附近逢低买入，现价不多(2018-01-18 20:10:16)
323,513,1,可以轻仓做，止损111.50，若价格向上突破，可反手加仓50%做多，，，短线对待(2018-01-18 20:10:48)
324,514,1,是呀，近期人民币一直在走强(2018-01-18 20:11:00)
325,515,0,晚间关注1333附近阻力，不突破可尝试做空，现价没合适的操作建议(2018-01-18 20:11:25)
326,516,0,是的，一直在下跌，今年可能会跌至85.00附近(2018-01-18 20:11:50)
327,521,1,本周才开始，没法去猜测的，需要耐心去等待。美元/人民币而言短期看6.33-6.35能否反踩回去站稳，若不能站稳下一步看6.26附近， 站稳有望短期到6.4-6.43之间(2018-01-29 15:33:29)
328,524,1,如果大规模基建的话会有大量外部投资资金进入美国，那么就会利好美元(2018-01-29 14:50:58)
329,527,0,低位不建议持有，建议短线获利为主，做好相应的止损吧，防止意外(2018-01-29 14:49:28)
330,531,0,可以轻仓考虑，止损不超过30点，供参考(2018-01-29 14:36:38)
331,533,0,短线开始关注回调走势，反弹阻力1.2437-45 可高空 止损1.2470 目标1.2401  1.2380；  18点之前 先见到1.2367附近一带 轻仓做多 止损1.2337 目标1.2392   1.2418附近，供参考，可加企鹅群【四三三 三零八 九二八】咨询，群里也有老师指导，及时解答交易/换汇难题，【送福利，年底疯狂打CALL】即刻添加：fx-xl-jyzd 微信号，免费领取VIP会员权限，享受全方面喊单、指导以及沙龙互动，更有机会报名参加宗校立老师现场(2018-01-29 14:24:06)
332,548,0,美元/人民币近期一直在震荡下跌，短期看6.33-6.35能否反踩回去站稳，若不能站稳下一步看6.26附近， 站稳有望短期到6.4-6.43之间(2018-01-29 13:50:18)
333,553,1,你好，如果选择买入推荐当前就可以考虑(2018-01-29 11:37:43)
334,555,0,你好，在刚刚过去的一周，美元空头如一阵风暴席卷整个金融市场，美元指数大跌创逾三年新低，除了美国贸易保护主义担忧、欧洲央行行长德拉基鹰派言论的影响之外，美国财长努钦的美元走软对美国有利的言论更是重创了美元。展望本周，将有包括美联储决议、非农、美国国情咨文以及美国PCE数据等众多经济数据公布，此外美国内需虽强劲，但第四季度经济增长预期依旧放缓，美国税改后续影响以及未来加息预期仍是市场不可忽视的地方，美元的弱势地位能否解除，还需经历层层考验。我认为美联储利率会议和非农将决定美元生死，美元是否迎来救赎就看本周，我也同意本周行情非常大的观点，如需及时行情解析可以加我的微信号；dongxing699(2018-01-29 11:19:09)
335,556,0,你好，镑美理论上没有你这个价格，我猜测你是1.420多单吧，镑美短期有所遇阻建议反弹至1.4200及时平仓(2018-01-29 11:13:29)
336,557,0,你好，欧美压力位1.2440做空(2018-01-29 11:04:46)
337,558,0,美元一直在下跌，暂时不能结汇，目前很被动(2018-01-29 20:07:51)
338,567,0,你好，盘中一定反弹会有，注意压力位1.4200(2018-01-29 11:03:56)
339,568,1,你好，镑日不推荐做空，镑美反弹可以激进考虑(2018-01-29 10:53:19)
340,570,0,你好，今天镑美预计震荡，高位回调可能性偏大(2018-01-29 10:52:54)
341,572,0,幅度有限，整体走势暂时还是偏空的(2018-01-29 20:10:38)
342,573,1,你好，美瑞关注支撑0.9310(2018-01-29 11:04:34)
343,574,0,你好，以趋势来说是空为主(2018-01-29 10:27:32)
344,577,1,现在开始兑换，加元近期表现很强势(2018-01-29 20:08:47)
345,580,0,你好，美日日内阻力109.2(2018-01-29 10:07:47)
346,581,0,你好，美日今天主要看是否企稳，压力位109.2(2018-01-29 10:08:03)
347,582,0,你好，镑美阻力位1.4220(2018-01-29 10:00:24)
348,583,1,你好，美加分析看日线目前在布林带下轨获得一定支撑，如果今天企稳1.2370上方则短期将看涨(2018-01-29 09:53:38)
349,588,0,你好，刚刚过去的一周，在IMF上调了全球未来经济增长预期的背景下，EIA原油库存再次下降，创下记录最长连续下降，同时美元大幅下跌，帮助油价继续冲高。不过我个人认为，随着美元的逐步企稳可能性，以及市场开始进行套期保值，不排除美原油在68美元遇阻。(2018-01-29 09:43:47)
350,590,0,"你好，作为观察美国通胀变化的重要指标之一的PCE物价指数，尤其是核心PCE物价指数，历来是每个月市场重点关注的一个数据，因为这个和美联储最关注的通胀有关。目前市场预期美国12月份核心PCE物价指数将增长1.6%，相对比11月份的1.5%要乐观，如果数据符合预期或者好于预期，有望给美元提供一些支撑；但如果数据表现不佳，则美元可能会延续跌势。
(2018-01-29 09:41:58)"
351,596,0,你好，预计会，你好，本周有许多超级数据和美元有关，按照美元这种超跌程度，不如等美联储利率后（本周四凌晨3点），因为从走势上看，非美货币高位已经开始回调了(2018-01-29 09:30:49)
352,597,0,你好，本周黄金主体建议高空为主，压力1355，日内支撑关注1345 1341.(2018-01-29 09:31:14)
353,598,0,你好，本周有许多超级数据和美元有关，按照美元这种超跌程度，不如等美联储利率后（本周四凌晨3点），因为从走势上看，非美货币高位已经开始回调了(2018-01-29 09:30:12)
354,600,0,你好，今天欧美回调的话1.2350附近(2018-01-29 09:27:56)
355,601,1,你好，澳美均线支撑不错，建议0.8050轻仓做多(2018-01-29 09:33:38)
356,603,1,你好，镑美走势较强，但是高位情况下还是注意回落可能性，日内关注1.4080支撑(2018-01-29 09:26:56)
357,604,0,"大家早上好，我是汪东兴，本周上午由我与大家探讨外汇行情。黄金上周经历了大起大落，在1365-1330区间宽幅震荡。上周初，美国政府经历了关门危机，黄金一度受到支撑，而且知情人士透露，参议院民主党领袖舒默撤回了为美墨边境墙提供资金的方案，若三周后未能达成新的拨款法案，美联邦政府将再次面临停摆风险。今天黄金建议1355美元做空，目标1345,1341，止损1360美元(2018-01-29 09:20:13)"
358,605,1,你好，这个我认为还是取决于大宗商品行情，个人认为澳元会升值(2018-01-29 09:23:06)
359,606,0,你好，美日低位震荡，预计企稳反弹，欧美高位回落为主行情看法(2018-01-29 09:23:26)
360,612,0,你好，美日操作思路反弹高空，上方压力首先关注109.50区域，临近周五收盘，避险品种进场需谨慎。(2018-01-26 21:44:46)
361,615,0,你好，英镑目前陷入高位整理走势，要做多最好等待价格回调至4H级别布林带中轨附近再寻找进场机会。(2018-01-26 21:14:47)
362,616,0,你好，数据前不猜方向，美元短线反弹后还是择机高空。而且大家应该更多关注美国官员以及特朗普在达沃斯论坛的讲话，这个对价格走势影响比数据大。(2018-01-26 21:06:28)
363,618,0,你好，如果要中期做空美日，建议选择更高的位置进场，美日目前周线级别宽幅整理区间108~115范围，如果要布局尽量再111.00之上再考虑。(2018-01-26 20:40:09)
364,620,0,你好，美加短线操作思路仍然是逢高做空为主，上方压力关注1.2360以及1.2400区域。(2018-01-26 20:22:41)
365,621,0,你好，欧瑞前期上升楔形走势于昨日向下跌破趋势线，短期顶部形成，后续关注1.1600以及1.1530区域测试情况再判断是否形成趋势反转。(2018-01-26 20:17:52)
366,623,0,你好，109.50可以轻仓尝试空单，止损日内高点上方。(2018-01-26 20:14:28)
367,624,0,你好，欧美做空建议等待上方1.2500区域小止损尝试。如需更多外汇技术指导，可添加微信号xi13762 202524，进行详细咨询。(2018-01-26 20:11:38)
368,626,1,你好，镑日近期展开震荡上行走势，做多不建议高位追单，可留意4H级别布林带中轨回踩后的进场机会，支撑位关注155.00区域。(2018-01-26 20:06:14)
369,627,1,你好，各位新浪的朋友们晚上好，我是分析师陈一铭，本周晚间将由我为大家做外汇分析指导。磅日近期展开震荡上行走势，做多不建议高位追单，可留意4H级别布林带中轨回踩后的进场机会，支撑位关注155.00区域。(2018-01-26 20:04:22)
370,629,0,你好，走势上目前还是偏空的，暂时没有反转迹象出现。还有下跌可能(2018-01-26 16:41:08)
371,630,0,日元走势震荡偏空，后市还有回落可能，需要结汇，现在就可以考虑(2018-01-26 16:38:46)
372,633,0,"你好，美加目前走势偏空，需要兑换建议及时兑换。如需更多的交易技巧课程的学习可以关注微信公众号：hzzsm888,获取相关的资讯和内容。(2018-01-26 16:37:20)"
373,634,0,你好，若晚间再破新低预计再反弹的机会不大(2018-01-26 16:07:01)
374,637,0,你好，美日昨日虽然出现反弹，但是日线依然收在5日均线下方，趋势上美日还是空头，做多不是很安全(2018-01-26 15:39:26)
375,638,1,你好，黄金昨日波动比较大，今天收周线，建议日内稳健布局，关注1340/1338的支撑位做多。(2018-01-26 15:41:51)
