情绪,专家意见
,"你好，这几天就要用的话，价格回落至7.82附近就可以换。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-23 20:41:20)"
0,你好，月线级别美元指数能否重新站上92.00区域将决定后续美元中期走势，如果无法站上美元将延续下跌走势。(2018-01-23 20:30:55)
,你好，美加1.2860上方尽量以低多为主。(2018-01-23 20:29:05)
,0
,0
1,有点困难，美股目前继续看多、、、技术上有问题的可以加微信 air_wangliang，平时群里面有行情分析、策略制定和进场提示，欢迎大家加入^_^(2018-01-29 21:19:54)
1,控制仓位逢低可以做个反弹走势，下方关注支撑1340、1335(2018-01-29 21:19:39)
1,黄金这2年时间一直在上涨，尤其2017年下半年，涨势更是强劲，目前仍旧处于上涨走势中、、、若美股暴跌会引发市场避险风险，黄金会受到一定支撑而上涨(2018-01-29 21:09:43)
0,暂时没办法结汇，汇率一直在下跌，目前适合人民币兑换美元，美元结汇很被动，错过了好的机会、、预计价格还会回落一些幅度(2018-01-29 20:47:36)
,止损在日内低点，上方关注153.35附近，短线对待(2018-01-29 20:42:53)
0,走势还是偏弱些，没出现止跌迹象，耐心等待做多信号，现在不着急(2018-01-29 20:38:30)
,进场需要关注2个方面：点位和时机，所以价格到位，如果没有出现做多的信号，那也不能进场(2018-01-29 20:37:51)
0,日内走势偏空，目前已经下跌60个点，空单没办法进场追空了、、至于做多暂时比较激进，存在一定风险(2018-01-29 20:33:16)
0,欧盘价格都已经跌的差不多了，这个时候没办法进场做空，风险太大(2018-01-29 20:32:19)
0,澳元上方阻力0.8140较为明显，目前在高位受阻回落，现价走势偏空，适合空单，跌至0.8040附近，若价格止跌可尝试逢低买入(2018-01-29 20:31:40)
0,欧盘到现在已经跌了65个点，现价进场点位没任何优势，错过了进场机会(2018-01-29 20:23:44)
1,日内价格在40个点的区间内窄幅震荡，个人觉得没什么操作价值、若你想进场，可现价做多(2018-01-29 20:23:07)
,蒙不到什么点位适合做多，反正现在没办法进场做多(2018-01-29 20:22:25)
0,英镑日内都是偏空，下方支撑关注1.4050、1.4030、1.4000，尤其是1.400附近的支撑较为关键(2018-01-29 20:18:18)
1,今年以来，人民币对美元汇率中间价累计上涨1906个基点，涨幅达2.92%。当前人民币对美元升值幅度仍然相对有限，而且人民币汇率指数保持相对稳定，这对出口的负面作用并不大，同时人民币对美元稳中趋升有利于稳定资本流动的预期，抑制资本外流的意愿。当然，也需要密切关注人民币升值过快对经济和出口的负面影响(2018-01-29 20:17:23)
0,现价不可以，多单还没出现进场信号，目前还是偏空走势(2018-01-29 20:11:52)
0,现价还没出现止跌的信号，多单不能进场(2018-01-29 20:11:31)
0,暂时这2个品种处于高位调整中，目前不适合做多(2018-01-29 20:11:18)
0,目前不适合美元结汇，适合人民币兑换美元，你错过了兑换时机(2018-01-29 20:03:51)
1,不着急可以等等，英镑兑人民币后市看多(2018-01-29 20:04:35)
,0
,0
,你好，欧美目前短线没有明显方向，价格围绕1.2250上下摆荡，建议做短跑小赚即走。(2018-01-23 20:28:21)
1,你好，澳人下方5.0位置的支撑较为明显，后续短线回调后仍倾向进一步走高。(2018-01-23 20:36:12)
1,"你好，可以先行离场等待后续行情进一步回落后再布局多单。如需更多外汇技术指导，可添加微信号yishuang656,进行详细咨询。(2018-01-23 20:26:23)"
,你好，美日目前4H级别宽幅震荡格局并未发生改变，区间110.20~111.50内依然可以采取高抛低吸策略，晚间可留意区间下沿110.20区域寻找做多机会。(2018-01-23 20:17:02)
1,你好，镑美日内跌破前期高点1.3945区域后短线倾向于进一步展开回调走势，多单建议等待下方1.3900区域再寻找进场机会。(2018-01-23 20:13:06)
1,你好，镑美日内跌破前期高点1.3945区域后短线倾向于进一步展开回调走势，多单建议等待下方1.3900区域再寻找进场机会。(2018-01-23 20:06:00)
1,你好，黄金目前日内横盘平台1337区域一直未能有效上破，做多建议回调进场。(2018-01-23 20:05:04)
1,你好，镑瑞后续日线级别依然看多，但短线由于前期涨幅较大目前需要回调积蓄力量，如果是日内交易建议带好止损止盈。(2018-01-23 20:04:03)
0,你好，各位新浪的朋友们晚上好，我是分析师陈一铭，本周晚间将由我为大家做外汇分析指导。澳美日内跌破0.7975区域后，后续将有机会向下测试0.7940区域。(2018-01-23 20:02:05)
,0
1,你好 美加已经突破上涨，预计今日还有继续上行可能，下方可以关注1.246―1.247附近的支撑，回踩可布局做多，目标看1.250/1.253，之前我也提示了突破1.247可尝试追多，更多行情交流可加微信zsmlili1818(2018-01-23 16:58:25)
,你好 近期可以考虑兑换(2018-01-23 16:51:01)
1,你好 美日现价110.7可继续做多，目标看111.1，止损设110.3(2018-01-23 16:49:50)
0,你好 很多人都想知道底部，但是这个是不可预测的，只要趋势不变就持续看空(2018-01-23 16:48:58)
,你好 欧美稳健可以先观望，布局磅美更多合适(2018-01-23 16:27:07)
1,你好 磅美现价1.394可布局做多，目标看1.397/1.400，跌破1.390止损离场(2018-01-23 16:26:36)
,你好 美元不可能一直会贬值，至于逆转还要看具体走势情况或者事件，个人预期即便要反转也会先出现一波震荡企稳行情(2018-01-23 16:20:28)
,你好 澳美下方关注0.790附近的支撑，跌破看0.785(2018-01-23 16:13:03)
0,你好 美加一旦站稳1.250将看重要阻力1.260，如果突破1.260短期将有反弹可能(2018-01-23 16:11:54)
0,你好 欧美如果打算做空的，建议在1.225，突破1.227就不建议做空了，欧美近期走势震荡看涨，个人建议稳健低多为主，做空风险偏大(2018-01-23 15:44:15)
1,你好 英镑走势较强，可以考虑兑换英镑(2018-01-23 15:43:55)
,0
,0
0,你好 欧美如果打算做空的，建议在1.225，突破1.227就不建议做空了，欧美近期走势震荡看涨，个人建议稳健低多为主，做空风险偏大(2018-01-23 15:40:02)
0,你好 美元还有贬值风险，建议稍晚时间段再考虑兑换(2018-01-23 15:37:52)
1,你好 黄金今日还有上涨风险，空单建议尽早离场(2018-01-23 15:27:37)
0,你好 近期个人观点是美元还会下跌，有美元的建议近期兑换，不同分析师观点都会有所不同(2018-01-23 15:21:26)
,你好 澳元近期预计会有回调行情，但是到5.0有一定难度，在2月初很难到达(2018-01-23 15:17:16)
0,你好 可以关注111.2的阻力，突破将继续看涨，预计首次触及会有一定的回调(2018-01-23 15:16:02)
,你好 今日澳元数据不多，主要还是技术性回调为主(2018-01-23 15:14:37)
0,你好 澳美开始出现回调，预计近期将延续弱势，今日反弹0.800可尝试布局空单，目标看0.795(2018-01-23 15:10:12)
1,"你好 美加近期震荡交投，突破1.247可尝试追多，目标看1.250/1.253，跌破1.243注意止损离场
(2018-01-23 15:08:13)"
1,你好 美元反弹黄金有所承压，涨势没有改变，上方还有空间，有多单的可以继续持有，看1339―1340(2018-01-23 15:04:23)
0,你好 建议年前兑换人民币(2018-01-23 15:02:57)
,你好 GDP注水历年来都有这种情况，有影响但相对有限(2018-01-23 15:00:59)
0,你好 近期可以规避澳元，等回调结束后再布局(2018-01-23 14:33:46)
1,你好 近期英镑更为强势，可以考虑兑换英镑(2018-01-23 14:32:58)
1,你好 黄金可以关注1340―1342的阻力，如果突破将继续上涨，冲高不破回落1331可以离场(2018-01-23 14:31:09)
1,你好 黄金按提示再1335布局做多的，目标看到1339―1340，上方重要阻力在1340―1342，首次触及预计会有回落(2018-01-23 14:24:01)
1,你好 可以考虑兑换欧元或英镑(2018-01-23 14:22:03)
1,你好 趋势不会因为涨的多而改变，目前可以考虑兑换(2018-01-23 14:20:19)
1,你好 欧元近期还会上涨，今明两日可以考虑兑换(2018-01-23 13:49:54)
1,你好 黄金早盘突破昨日高点，今日有望继续上涨，目前点位1335可布局做多，上看1340/1345，如果跌破1330就要注意离场，更多行情分析可加微信号zsmlili1818(2018-01-23 13:35:27)
,0
,0
0,你好 美元不会无休止的下跌，可以长期持有，但要考虑到通货膨胀(2018-01-23 13:32:34)
1,你好 美元在90.1附近形成强支撑，展开震荡行情，但并不能代表已经企稳，一旦跌破支撑将会到89.8/89.2，重要阻力关注91.0(2018-01-23 13:26:02)
1,你好 镑澳现价触及1.751附近阻力，冲高不破将有回调，近期趋势呈现上涨，回调做多为主(2018-01-23 13:23:18)
0,你好 美元目前还是处于弱势阶段，有继续贬值风险，建议下半年再考虑兑换，如果中途有企稳迹象可以考虑先兑换部分(2018-01-23 13:20:50)
1,你好 美日近期处于震荡行情中，走势并不明朗，稳健可以选择先观望，等走势明朗后再选择布局，激进交易者可以轻仓尝试搏反弹，重点关注111.5附近的阻力，突破继续上看，跌破低点110.2就要注意止损离场(2018-01-23 13:18:20)
1,你好 黄金早盘突破昨日高点，今日有望继续上涨，目前点位1335可布局做多，上看1340/1345，如果跌破1330就要注意离场(2018-01-23 13:09:35)
1,你好 磅美整体趋势看涨，下方关注1.395附近的支撑，操作建议依托支撑可布局做多，上方阻力在1.400/1.405(2018-01-23 13:06:58)
0,你好 美元下周预计还有贬值风险，下跌的概率较大(2018-01-23 13:04:11)
,0
0,美日早间不建议进场，从分时走势上看，如果做多了，防守的止损点位在110.75，你的多单我建议可以考虑先止损离场，等日本央行的利率政策落下帷幕后再进场布局，后续行情交流，咨询及技术解析欢迎添加个人微信号：jingzhe1688跟进了解。(2018-01-23 11:50:16)
1,日本数据公布后，利率政策维稳，并没有强势鹰派表现，美日短线上涨。(2018-01-23 11:34:13)
1,美瑞近期再走区间整理，目前从分时K线图看，可以关注0.9600的一线支撑布局多单，上放个阻力在0.9650一线，这是日内短线操作方案，关于大趋势涨跌及后续的长线操作可以加微信咨询。(2018-01-23 11:16:59)
1,镑美近期走势看涨，消息面上美元疲软，同时英国脱欧过渡期将在未来几个月等到证实的乐观预期提振英镑；技术面看日线图均线呈现多头排列，小时线更是收阳线突破盘整平台，日内推荐关注1.3950一线支撑布局多单，后续更多有关贵金属，外汇，原油行情交流，咨询及技术解析欢迎添加个人微信号：jingzhe1688跟进了解。(2018-01-23 11:09:36)
1,从走势上看，你的空单可以逢低减仓，上方如果突破1.40则离场，我对镑美日内的走势是持看涨思路。(2018-01-23 11:06:23)
1,澳元现在走强，不急着用可以再等一等的。(2018-01-23 11:03:12)
1,目前澳元受澳洲经济利好的提振，短线看走势还是上行，这种趋势变数要看一季度末，如果不急着用，我建议等一等再兑换。(2018-01-23 11:02:39)
0,详情可以加个人微信咨询：个人微信号：jingzhe1688。(2018-01-23 10:53:18)
0,本周四的欧银决议是近期焦点事件，具体结汇可以看周五情况，美元大趋势看，接下来还是偏空的，周中有回弹就可以部分结汇的。(2018-01-23 10:46:07)
1,回归6.5以上的机会是有的，后续要看美联储的经济政策途径是否有变动，如果出现鹰派基调，则一季度就有机会。(2018-01-23 10:58:05)
,美国近期的主要大动作就是政府停摆，其他还有后续的经济数据公布情况，另政治不确定性依旧存在，如通俄门发酵事宜。(2018-01-23 10:27:24)
0,美日从近期基本面看，美指走低，美日承压；目前对于后市我还是持看空思路的，从日线图看，前期也是连续筑顶，除非今天上午的日本央行利率决议给出大幅度鸽派基调，否则美日短期内反转大幅度上探的几率较小。(2018-01-23 09:50:17)
,0
,0
,美元近期走势相对疲软，美加日内趋势看空，奥美日内趋势看涨，详细进场点位及布局思路欢迎加个人微信号：jingzhe1688跟进了解。(2018-01-23 09:42:56)
0,美元走软可以归结为以下几点：1.税改落实后，短线利好出尽，同时关于政府税收减少及财政赤字增加的忧虑利空美指，市场更多关注在税改长期效果；2.市场避险情绪一直存在，美国政府的政治风波屡屡上演；3.全球其他经济体也在缩紧货币政策，与美联储之间的差异性在缩小，降低了美元的优势地位。这是近期美指持续低迷的主要原因，而今天对美指走势有较大影响的是日本央行的利率决议，从目前来看，美指走低的几率较大；以上是我的看法，请参考。(2018-01-23 09:37:28)
0,美日近期走势疲软，美指下行，同时日本央行近期有变更货币政策的可能性，今天上午的焦点事件是11点开始的日本央行公布的利率决议及政策说明，存在不确定性，但是近期美日趋势上我是持看空思路的。(2018-01-23 09:23:51)
,0
1,你好，欧美目前不建议做空，欧美上周呈现高位震荡，目前没有明显的空头迹象，做空不是很合适，今天的指导就要结束了，大家的问题比较多，不能全部解答，晚间如需更多的行情走势分析及建议，可以添加微信号：zsmlili1818，获取相关的指导课程和学习课程。(2018-01-22 16:58:31)
0,你好，黄金走势偏空，亚盘黄金回落至1328附近后反弹，建议欧盘关注黄金的强弱，若上方承压在日内高点位置下方，下方跌破1328，那么晚间有较大的可能还会延续弱势回调行情，操作上择机做空是比较合适的，否则，行情有可能还是会呈现震荡行情(2018-01-22 16:39:46)
1,你好，英镑有机会上涨，可以继续持有。(2018-01-22 16:44:27)
0,你好，美日日内关注111.0/111.1的阻力位可以轻仓做空美日，反弹突破111.3就有一定的风险，如需更多行情解析及图形操作建议可以关注微信公众号：hzzsm888，获取相关的课程。(2018-01-22 16:22:59)
0,你好，美日现在做多是不合适的，(2018-01-22 16:19:06)
,你好，市场正常的波动，目前没有重点事项公布(2018-01-22 16:16:04)
0,你好，趋势下跌的行情下，市场的主要方向决定强弱(2018-01-22 16:18:14)
1,你好，建议美加关注1.244附近的支撑，回踩再考虑做多进场。下方防守支撑位是1.240(2018-01-22 16:13:42)
0,你好，短期承压回落的可能性相对较大(2018-01-22 16:19:31)
0,你好，黄金现在追多不是很合适(2018-01-22 16:51:47)
0,你好，有一定的难度。(2018-01-22 15:52:38)
0,你好，是的，澳联储对澳元的态度一直是持下跌态度的(2018-01-22 15:55:09)
1,"你好，镑美趋势还是上涨行情，判断行情的方法有很多种，在这里不能全部解答，有机会会提及一些比较常用的判断方式，有兴趣可以添加微信号：zsmlili1818,会有相关的技术面学习课程(2018-01-22 15:46:34)"
0,你好，白银走势偏空，目前不建议做多(2018-01-22 15:44:40)
1,你好，欧美下午关注1.219/1.216的支撑位(2018-01-22 15:43:44)
,你好，需要的时候，尤其是在偏离正常水平的时候，央行会干预货币政策(2018-01-22 15:56:52)
,你好，需要的时候，尤其是在偏离正常水平的时候，央行会干预货币政策(2018-01-22 15:58:20)
,0
,0
1,你好，镑美目前整体还是上涨趋势。目前从1从1小时图形走势上看，有承压回调的可能，但是介于目前主要还是上涨趋势行情，操作上还是建议大家主要顺势布局多单位为主，下方初步关注1.382的支撑位，回踩可以布局多单，做多防守支撑位看1.380，破位考虑止损离场(2018-01-22 15:58:35)
1,你好，英镑兑人民币呈现底部抬升的三角形形态，后市有破位上涨的可能，需要现在就可以兑换，英镑在去年就已经是建议大家兑换的观点了(2018-01-22 16:00:08)
1,你好，可以的，需要英镑可以现在兑换(2018-01-22 16:01:33)
1,你好，现在可以兑换。(2018-01-22 15:21:23)
1,你好，看支撑位的支撑情况了，破位则机会不大(2018-01-22 15:20:42)
0,你好，个人建议做空关注111.0/111.1的阻力位在考虑进场，(2018-01-22 15:18:47)
0,你好，建议再等等(2018-01-22 15:18:13)
1,你好，可以考虑持有，若下方支撑位有效获得支撑，二季度有一定的反弹机会(2018-01-22 15:17:21)
1,你好，镑美目前整体还是上涨趋势。目前从1从1小时图形走势上看，有承压回调的可能，但是介于目前主要还是上涨趋势行情，操作上还是建议大家主要顺势布局多单位为主，下方初步关注1.382的支撑位，回踩可以布局多单，做多防守支撑位看1.380，破位考虑止损离场(2018-01-22 15:14:17)
0,你好，破新低的情况下，有可能会下跌至108.5附近(2018-01-22 15:10:48)
1,你好，澳美近期走势上目前还是上涨趋势，日内关注0.796/0.794的支撑位(2018-01-22 15:07:39)
,你好，美加走势上有形成双底的可能，日内初步关注1.244的支撑位，有回踩机会可以考虑轻仓尝试多单，上方关注1.254的初步阻力位。(2018-01-22 15:05:45)
1,你好，可以的，现在兑换非常合适(2018-01-22 14:59:31)
0,你好，个人看空澳元长期(2018-01-22 14:59:02)
0,你好，澳美虽然目前趋势还是上涨的，但是值得注意的是澳美在4小时图形上MACD指标出现了背离迹象，走势澳美有一定的可能会回落，日内初步关注0.796的支撑，做多防守点位在0.794，上方的阻力位在0.802，可以区间操作，快进快出，如需详细的行情解析及分析课程指导，可以关注微信公众号：hzzsm888，获取直播课程。(2018-01-22 14:42:55)
1,你好，看支撑位，支撑位有效的情况下，2季度有反弹可能。(2018-01-22 14:33:06)
0,你好，欧美上周整体表现是高位震荡的行情，相对来说震荡行情建议大家操作上稳健布局为主，下方可以关注10日均线的支撑位1.215，日内做多可以在1.216的位置轻仓尝试(2018-01-22 14:29:04)
0,你好，看支撑位的支撑情况，若破位则后市有可能会延续承压(2018-01-22 14:15:22)
0,你好，有一定难度，看6.39的初步支撑位，破上周新低的话，就还会延续下跌(2018-01-22 14:11:27)
1,你好，镑美目前整体还是上涨趋势。目前从1从1小时图形走势上看，有承压回调的可能，但是介于目前主要还是上涨趋势行情，操作上还是建议大家主要顺势布局多单位为主，下方初步关注1.382的支撑位，回踩可以布局多单，做多防守支撑位看1.380，破位考虑止损离场(2018-01-22 14:10:49)
,0
,0
1,你好，看支撑位，6.35/6.30附近的支撑位(2018-01-22 14:10:24)
0,你好，从周线的表现情况来看，还有回测下跌的风险，破上周的低点位置就有可能到6.35附近。(2018-01-22 14:04:14)
1,你好，可以考虑分批兑换，可以先在6.41兑换一部分，因为不排除今天站稳在6.39上方，短期有小反弹，就有机会在6.43附近兑换了(2018-01-22 14:02:36)
0,你好，美元兑人民币目前在初步支撑位6.39附近。若本周再次出现破位下跌，那短期还有承压可能，下方测试6.35/6.30目前从周线角度来看，美元还是弱势行情，短期还是承压在6.44的阻力位位置下方。没有明显反转迹象出现的情况下，继续看空。(2018-01-22 13:33:12)
,你好，个人认为本周先关注6.39附近的支撑位，进一步支撑位在6.35，上方初步阻力位6.40/6.44，走势上还有承压下跌的可能。破上周低点，预计将会到达6.35附近，(2018-01-22 13:38:07)
,你好，目前趋势还是下跌的，中期能否反弹，短期还需关注下方的支撑情况。若行情在后市表现依然不乐观，下方跌破6.3附近的支撑位，那么美元兑人民币中期反弹的难度就比较大了(2018-01-22 13:35:43)
0,你好，各位新浪外汇的朋友们，大家下午好，我是分析师周筱冰，今天下午由我为大家做外汇行情的分析和指导，美瑞受到美元指数反弹影响，上周五出现反弹行情，本周早盘延续上涨的走势，但是上方临近重要阻力位0.967附近，日内建议在0.966/0.967的阻力位可以做空美瑞。(2018-01-22 13:13:17)
,0
0,你好，从中线看，美元兑人民币还有回落的空间，所以手上美元建议及时兑换出去，不建议长期持有。(2018-01-22 11:58:48)
1,你好，人民币对澳元处于回落阶段，建议近期可以及时兑换。(2018-01-22 11:52:37)
1,你好，镑美整体还是处于上行趋势中，个人看好到达1.41的位置，后期中长线的布局可关注我的微信号详细交流。(2018-01-22 11:39:36)
1,你好，澳美现价多先看0.800，若日内守住5日均线还有多头机会，更多布局欢迎添加我的微信jingzhe1688。(2018-01-22 10:17:18)
1,你好，美元兑人民币预计还有回落的风险，也就意味着人民币将会继续升值。(2018-01-22 09:34:56)
1,你好，欧美连续多日高位震荡，守住下方1.2170的支撑，逢低做多，严设止盈止损。(2018-01-22 09:38:02)
1,你好，美加日内多头趋势强势，日内关注下方1.2440附近支撑，逢低可布局多单，短线看涨。(2018-01-22 10:05:14)
1,你好，由于美国参议院投票未能通过短期政府预算案，美国政府停摆危机变成现实，预计对本已经持续疲软的美元构成进一步打击，黄金等避险品种则可能受到提振，黄金目前处于高位震荡，下方关注1325-1329一带支撑，逢低布局多单。(2018-01-22 09:24:59)
0,你好，美日偏空走势，上方关注111.1附近的阻力，逢高布局空单，日本央行的利率决议即将来袭，预计对汇市造成持续冲击。相比于已经在2017年加息三次，并将持续收紧政策的美联储来说，日本央行依旧保持着鸽派的货币政策立场，收紧政策的脚步也相对落后。(2018-01-22 09:06:53)
,0
1,近期上涨走势保持完好，目前在高位回落，适合逢低买入，下方进场点位关注1.3800--1.3830，下方关键支撑1.3770附近，若跌破此价格，就不适合继续看多(2018-01-19 21:54:28)
0,现价就可以离场了，做短线单子，本周市场处于调整中，均在震荡，后市走出区间之后方向会明朗些，届时在做(2018-01-19 21:46:32)
0,做好盈利保护，拿着先看看，下方支撑110.00破位会进一步下跌(2018-01-19 21:45:48)
1,现在没办法做空，点位太低了，，再跌就可以逢低买入了(2018-01-19 21:45:15)
,0
,0
1,澳元适合回落后在0.7980附近逢低买入，高位不追(2018-01-19 20:59:33)
1,不做空，可做多，短线单子(2018-01-19 20:59:01)
0,90.10跌破还会继续下跌，本周价格处于90.10--91.00区间震荡(2018-01-19 20:44:08)
1,走势还是处于近期上涨行情之中，目前迹象看多，晚间适合回落后逢低做多(2018-01-19 20:44:59)
0,跌了，近期价格一直跌，一些结汇的朋友损失较大，市场都没有给结汇的机会(2018-01-19 20:42:45)
1,现价可做多，止损110.50，上方关注111.00附近，短线单子(2018-01-19 20:21:48)
1,现价在高位回落，适合回落后在0.7250附近逢低买入(2018-01-19 20:22:13)
0,"欧元可现价做空，止损1.2300,（若价格向上突破止损，可反手加仓50%追多）(2018-01-19 20:21:25)"
0,走势偏多，本周出现高位调整，现价可做空，止损1.2300，若止损可反手加仓50%追多(2018-01-19 20:11:48)
1,现价走势偏空些，在1.3840附近逢低买入(2018-01-19 20:06:09)
1,回落之后逢低买入(2018-01-19 20:06:36)
1,现在就可以开始兑换，近期美元一直在下跌(2018-01-19 20:08:05)
1,现在就可以开始兑换，后市价格还会跌一些，分批换(2018-01-19 20:08:27)
1,可以，止损在1.2300，若是价格向上突破，止损之后反手加仓50%追多(2018-01-19 20:09:00)
,对市场影响很小(2018-01-19 20:09:10)
0,暂时有点困难，英镑适合回落后逢低买入(2018-01-19 20:09:38)
1,暂时继续看多，晚间适合回落后逢低买入(2018-01-19 20:09:52)
1,现价可以做多，止损在1.2400，上方关注1.2460，短线单子(2018-01-19 20:10:16)
0,按照以往的经验来看比较困难(2018-01-19 20:10:47)
,0
,暂时没有这个建议，看个人需求的时间去决定(2018-01-19 16:57:15)
,0
,0
,不是澳元强，还是美指太弱，美国政府摇摆不定的(2018-01-19 16:52:05)
,但也是在告诫出口企业汇率的未来风险是多大，这也才只是开始。还有中国有消息报导暂缓购买美国国债，变相的就是吸收这些美元(2018-01-19 16:52:56)
0,严格设置止损是当前行情最好的建议，不扛单不套单尽量空仓规避风险为主(2018-01-19 16:47:47)
,这个补空时间是不确定的(2018-01-19 16:41:03)
,下单即设置止损才不会套单，做交易有亏损是很正常，但是不去承认亏损那绝对是危险的。(2018-01-19 16:36:40)
0,目前除了美国参议院的投票没啥利好消息，或者欧央行出来干预一下打压欧元(2018-01-19 16:36:05)
,会的，不过这几天正在开全会期间，不好说会立即出来干预(2018-01-19 16:25:18)
,2月初可以去考虑的，因为目前是非正常时期回答太肯定会被误导，因为短时间不利于我的观点，因为很多人只关注当下并不去看未来如何(2018-01-19 16:20:19)
,当前没有想法去低位布局做空美日(2018-01-19 16:13:35)
,"交投上：亚洲：新西兰，澳大利亚（9:30），中国，香港，日本这几个大的金融中心分别开始。欧洲：（15:30，但是德国是14点）欧元区（15:30），瑞士，英国（16:30）；美盘是，美国，加拿大，（20:30）含有欧洲尾盘
重要行情交投时间就成了，亚盘7-10:30点，欧盘14-17:30点，美盘20-23点（这是夏令时，冬令时亚盘提前1小时，欧美盘延后一小时）(2018-01-19 16:10:37)"
,现在没法给这么长期的展望(2018-01-19 16:05:38)
,现在不是经济问题，是美国政治问题导致的(2018-01-19 16:03:56)
,这个现在不好断言，12月给过机会，未来是否给机会需要走一步看一步(2018-01-19 16:03:39)
0,止损严格设置吧，等待市场的走势。1.关于止损：A外汇止损：直盘的最大止损不超过30个点，一般在20-25个点，中线不超过50-80个点；交叉盘的最大止损不超过35-50个点，B 黄金止损：最大止损不超过8美金，一般在3-5美金即可(2018-01-19 15:57:37)
,机会还是有的，澳元现在趋近于5.1附近就需要考虑兑换，贪吃5.05-5.08，但是这个就要看运气和市场说了算了(2018-01-19 15:56:57)
,美日目前关注的就是是否破位(2018-01-19 15:56:30)
,这个没想法，回答不了哦(2018-01-19 15:49:58)
,目前都是未知数(2018-01-19 15:38:45)
,政治因素不好去判断，利好穷人那么有钱人就会受伤。。。(2018-01-19 15:38:11)
0,现在都是未知数反弹压力先看1.2460-70(2018-01-19 15:32:09)
,0
,0
,目前没有时间公示出来，看美盘能否出参议院的投票结果(2018-01-19 15:31:02)
0,欧纽以及涨了不少，1.6830-50有较大压力，可以去沽空，止损1.6875，看向1.6770-80，供参考(2018-01-19 15:30:30)
,欧元/人民币月底有望到7.78附近，可以去考虑兑换（目前在7.84）(2018-01-19 15:25:04)
,近期没法去结汇，汇率一直下跌，只有看你需求时间来决定了(2018-01-19 15:22:50)
1,美加目前1.24关口支撑着，加元是美盘货币，日内波幅有限主要看美盘行情为主(2018-01-19 15:16:41)
1,欧盘时段即将开盘，美元/人民币也即将回到6.4附近以及上方(2018-01-19 15:14:43)
0,1.226的话目前有小赚，建议做好相应的止损，1.2280-90的阻力；，下方1.2210-20的支撑可以作为目标(2018-01-19 15:14:15)
,先拿着吧，看欧美盘的走势(2018-01-19 15:13:05)
,目前只是开盘下跌，并不代表实际的破位(2018-01-19 15:12:48)
,目前不代表实际破位(2018-01-19 15:12:29)
,这个只有看4-6月份了(2018-01-19 15:12:15)
,不急用就屏蔽近期的汇率走势(2018-01-19 15:10:49)
,其他非美货币也是在高位，除了换美元在低位没得选择(2018-01-19 15:04:58)
,可以等5月份去考虑兑换(2018-01-19 15:04:08)
,人民币的走势是央行在控制的(2018-01-19 14:52:54)
,有这个想法和建议，但是看下周市场的走势了(2018-01-19 14:42:04)
0,"近一个月以来英国经济数据逐步的利好，镑美破位稳步走高，再加上美指下破导致英镑破位18月以来的高点，目前在1.39附近徘徊直接逼近1.4关口。下一步又该如何？个人判断短期英镑稳步走高但是越逼近1.4那么越接近了多头的尾声。
(2018-01-19 14:41:39)"
1,机会还是有的，澳元现在趋近于5.1附近就需要考虑兑换，贪吃5.05-5.08，但是这个就要看运气和市场说了算了.急于想得到答案的朋友，可加【Q群 五六七 七八八 三零七】咨询，群里也有老师指导，及时解答交易/换汇难题(2018-01-19 14:38:44)
,现在只有被动的等待，煎熬过这几天的非正常的汇率走势(2018-01-19 14:38:01)
,没有明确的时间公示，预计是傍晚十分也就是美国时间的周五早上(2018-01-19 14:37:32)
,0
,0
,目前建议等待3月后去考虑换加元(2018-01-19 14:35:53)
,现在是关键时期，没有好的建议，要么等要么择机去结汇(2018-01-19 14:36:16)
1,110.50-60有一点支撑，不破有望反弹111.1   111.40-50，供参考（破位就不在看反弹了）(2018-01-19 14:35:36)
,现在都是55开的局面(2018-01-19 14:35:05)
,陷入了焦灼的状态，主因是美指90到底破与不破的选择(2018-01-19 14:32:42)
,就是这附近了(2018-01-19 14:31:16)
,脱欧的影响是不断的退化，现在最大的直接影响在于美国身上，欧洲并没有较大的问题，现在经济上都在复苏和增长，主要是政治上的问题(2018-01-19 14:23:52)
,这个不是我们该考虑的问题(2018-01-19 14:22:34)
,目前没有接到新浪的消息(2018-01-19 14:21:11)
,激情你需要注意110-110.5是否破位，前几天回答过，这里不破位后期才有希望去113，一旦破位，那就是希望都破灭了(2018-01-19 14:18:46)
,现在只有被动持有(2018-01-19 14:16:14)
,没有明确的时间公示，最迟今晚美盘期间(2018-01-19 14:16:01)
,现在央行也没得选择，现在又在会议期间(2018-01-19 14:15:30)
,现在都头大，对于刚需没啥好的建议，市场说了算(2018-01-19 14:12:49)
,都一年了都没下手，现在去下手真么想法，看你自己的选择了，18年也才开始(2018-01-19 14:09:31)
,目前最喜的是需求美元的，坐不住的是央行和需求结汇的企业，这走势也没有啥建议，很是被动(2018-01-19 14:07:17)
1,"欧美目前震荡走高，上方关注1.2285-95的压力，供参考...可加企鹅群【五六七 七八八 三零七】咨询，群里也有老师指导，及时解答交易/换汇难题，【送福利，年底疯狂打CALL】即刻添加：fx-xl-jyzd 微信号，免费领取VIP会员权限，享受全方面喊单、指导以及沙龙互动，更有机会报名参加宗校立老师现场直播课堂！
(2018-01-19 14:07:51)"
